epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,759.399,0.32016,6.13299,0.36038,0.28231,1.08178,0.98507,0.97059,0.99443,0.92886,0.06162,0.05882,0.02615,0.00784,0.43644,5.9005,0.25061,0.32091,0.75229,0.00188516,0.00188516,0.00188516
31,787.059,0.36348,6.15156,0.33622,0.30487,1.1168,0.9416,1,0.99389,0.92739,0.2049,0.20588,0.08747,0.0165,0.41355,6.34513,0.2211,0.36135,0.70688,0.0018812,0.0018812,0.0018812
32,816.081,0.35046,5.93906,0.31546,0.30908,1.07464,0.93952,0.97059,0.98541,0.81427,0.1411,0.14706,0.04233,0.00954,0.70392,7.01335,0.28237,0.47894,1.13682,0.00187724,0.00187724,0.00187724
33,841.849,0.33988,5.87491,0.30421,0.31019,1.08264,0.98369,0.97059,0.99289,0.81465,0.17347,0.23529,0.09879,0.02326,0.64613,6.45981,0.31894,0.43335,1.09541,0.00187328,0.00187328,0.00187328
34,865.82,0.3094,5.79883,0.29093,0.28669,1.07952,0.99809,0.97059,0.99443,0.93304,0.18882,0.17647,0.08944,0.02277,0.52907,5.34512,0.22477,0.35811,0.91739,0.00186932,0.00186932,0.00186932
35,899.3,0.32351,5.29509,0.28429,0.27755,1.07839,0.98723,0.97059,0.99389,0.81964,0.42354,0.41176,0.3312,0.08383,0.60929,4.46652,0.25335,0.42203,1.00241,0.00186536,0.00186536,0.00186536
36,923.832,0.36392,5.4339,0.26601,0.30325,1.08257,0.98937,1,0.995,0.91614,0.529,0.52941,0.35858,0.06928,0.43352,5.34102,0.2401,0.38167,0.78647,0.0018614,0.0018614,0.0018614
37,952.372,0.34717,5.43576,0.26799,0.29196,1.08388,0.99284,1,0.995,0.91878,0.6437,0.64706,0.52399,0.16064,0.40447,5.12325,0.21073,0.29921,0.76587,0.00185744,0.00185744,0.00185744
38,983.146,0.34902,5.53201,0.26965,0.30552,1.08918,0.97284,1,0.995,0.94542,0.45812,0.47059,0.31392,0.09399,0.41364,5.9075,0.22142,0.32743,0.7553,0.00185348,0.00185348,0.00185348
39,1007.24,0.31615,5.45564,0.24395,0.2751,1.06848,0.99287,1,0.995,0.93027,0.32707,0.38235,0.18162,0.0389,0.42641,5.54624,0.19882,0.32119,0.73691,0.00184952,0.00184952,0.00184952
